match_id,team,shots_15,shots_30,shots_45,shots_stoppage_HT1,shots_60,shots_75,shots_90,shots_stoppage_HT2,passes_15,passes_30,passes_45,passes_stoppage_HT1,passes_60,passes_75,passes_90,passes_stoppage_HT2,subs_15,subs_30,subs_45,subs_stoppage_HT1,subs_60,subs_75,subs_90,subs_stoppage_HT2,tactical_15,tactical_30,tactical_45,tactical_stoppage_HT1,tactical_60,tactical_75,tactical_90,tactical_stoppage_HT2,fouls_won_15,fouls_won_30,fouls_won_45,fouls_won_stoppage_HT1,fouls_won_60,fouls_won_75,fouls_won_90,fouls_won_stoppage_HT2,fouls_committed_15,fouls_committed_30,fouls_committed_45,fouls_committed_stoppage_HT1,fouls_committed_60,fouls_committed_75,fouls_committed_90,fouls_committed_stoppage_HT2,goals_15,goals_30,goals_45,goals_stoppage_HT1,goals_60,goals_75,goals_90,goals_stoppage_HT2,yellow_cards_15,yellow_cards_30,yellow_cards_45,yellow_cards_stoppage_HT1,yellow_cards_60,yellow_cards_75,yellow_cards_90,yellow_cards_stoppage_HT2,yellow_cards_2_15,yellow_cards_2_30,yellow_cards_2_45,yellow_cards_2_stoppage_HT1,yellow_cards_2_60,yellow_cards_2_75,yellow_cards_2_90,yellow_cards_2_stoppage_HT2,red_cards_15,red_cards_30,red_cards_45,red_cards_stoppage_HT1,red_cards_60,red_cards_75,red_cards_90,red_cards_stoppage_HT2,shots_total_HT1,shots_total_HT2,shots_total,passes_total_HT1,passes_total_HT2,passes_total,subs_total_HT1,subs_total_HT2,subs_total,tactical_total_HT1,tactical_total_HT2,tactical_total,fouls_won_total_HT1,fouls_won_total_HT2,fouls_won_total,fouls_committed_total_HT1,fouls_committed_total_HT2,fouls_committed_total,goals_total_HT1,goals_total_HT2,goals_total,yellow_cards_total_HT1,yellow_cards_total_HT2,yellow_cards_total,yellow_cards_2_total_HT1,yellow_cards_2_total_HT2,yellow_cards_2_total,red_cards_total_HT1,red_cards_total_HT2,red_cards_total,competition,season,kick_off,goals_scored,goals_conceded,competition_stage,home,goal_difference,winner,goals_scored_HT,goals_conceded_HT,Advantage_HT,Stoppage_Time_Goals_HT,Losing_HT,Stoppage_Time_Goals,Goals_Scored_Midfielders,Goals_Scored_Forwards,Goals_Scored_Defenders,Goals_Scored_Goalkeepers,winning_percentage_groupstage,is_loss,loss_percentage_groupstage,is_draw,draw_percentage_groupstage,points,points_groupstage,goal_difference_groupstage,last_match_points,win_last_match,draw_last_match,loss_last_match,last_match_goals_knockout
3930161,Albania,2,0,1,1,1,0,0,3,43,64,56,9,21,0,0,213,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,6,2,1,0,0,2,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,172,234,406,0,4,4,0,1,1,2,6,8,3,7,10,1,0,1,0,1,1,0,0,0,0,0,0,Europe - UEFA Euro,2024,22:00:00.000,1,2,Group Stage,0,-1,0,1,2,-1,0,1,0,1,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,
3930167,Albania,2,1,0,4,3,0,0,4,53,47,35,27,34,0,0,144,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,3,2,4,2,0,0,0,4,2,4,2,0,3,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,14,162,178,340,0,4,4,0,2,2,11,4,15,8,5,13,1,1,2,0,1,1,0,0,0,0,0,0,Europe - UEFA Euro,2024,16:00:00.000,2,2,Group Stage,0,0,0,1,0,1,0,0,1,2,0,0,0,0.0,0.0,0.5,1.0,0.5,1.0,1.0,-1.0,0.0,0.0,0.0,1.0,
3930179,Albania,0,0,1,0,2,0,0,7,60,93,41,15,23,0,0,200,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,12,0,1,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,10,209,223,432,0,4,4,0,0,0,5,12,17,2,6,8,0,0,0,0,0,0,0,0,0,0,0,0,Europe - UEFA Euro,2024,22:00:00.000,0,1,Group Stage,1,-1,0,0,1,-1,0,1,0,0,0,0,0,0.0,1.0,0.6666666666666666,0.0,0.3333333333333333,0.0,1.0,-2.0,1.0,0.0,1.0,0.0,
3920390,Algeria,4,1,2,2,3,0,0,4,130,71,53,49,37,0,0,249,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,4,3,2,0,0,0,7,1,1,3,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,16,303,286,589,0,5,5,0,0,0,11,7,18,5,8,13,1,0,1,0,0,0,0,0,0,0,0,0,Africa - African Cup of Nations,2023,22:00:00.000,1,1,Group Stage,1,0,0,1,0,1,0,0,0,0,1,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,
3920402,Algeria,1,1,2,0,2,0,0,9,108,45,69,36,28,0,0,172,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,4,2,2,1,2,0,0,7,1,2,3,0,0,0,0,7,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,15,258,200,458,0,4,4,0,2,2,9,9,18,6,7,13,0,2,2,0,1,1,0,0,0,0,0,0,Africa - African Cup of Nations,2023,16:00:00.000,2,2,Group Stage,1,0,0,0,0,0,0,0,1,0,2,0,0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,
3920415,Algeria,0,3,1,2,3,0,0,7,90,105,83,43,58,0,0,239,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,2,4,2,1,1,0,0,9,2,2,3,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,16,321,297,618,0,5,5,0,3,3,9,10,19,9,6,15,0,0,0,1,1,2,0,0,0,0,0,0,Africa - African Cup of Nations,2023,22:00:00.000,0,1,Group Stage,0,-1,0,0,1,-1,0,1,0,0,0,0,0,0.0,1.0,0.3333333333333333,0.0,0.6666666666666666,0.0,2.0,-1.0,1.0,0.0,1.0,0.0,
3920390,Angola,0,2,1,1,0,0,0,3,39,41,32,27,8,0,0,149,0,0,1,0,0,0,0,4,0,0,1,0,0,0,0,0,1,1,3,0,0,0,0,8,2,4,3,2,1,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,139,157,296,1,4,5,1,0,1,5,8,13,11,8,19,0,1,1,0,0,0,0,0,0,0,0,0,Africa - African Cup of Nations,2023,22:00:00.000,1,1,Group Stage,0,0,0,0,1,-1,0,1,0,0,1,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,
3920403,Angola,5,5,0,3,0,0,0,7,75,51,52,14,10,0,0,142,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,3,3,1,0,0,0,0,6,2,1,2,0,2,0,0,9,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,20,192,152,344,0,4,4,0,2,2,7,6,13,5,11,16,1,2,3,0,1,1,0,0,0,0,0,0,Africa - African Cup of Nations,2023,19:00:00.000,3,2,Group Stage,0,1,1,1,1,0,0,0,0,0,3,0,0,0.5,0.0,0.0,0.0,0.5,3.0,4.0,1.0,1.0,0.0,1.0,0.0,
3920414,Angola,1,0,1,0,2,0,0,2,70,64,57,28,23,0,0,163,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,2,1,2,3,1,0,0,0,3,1,2,1,2,1,0,0,8,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,219,186,405,0,5,5,1,2,3,7,3,10,6,9,15,1,1,2,1,0,1,0,0,0,0,0,0,Africa - African Cup of Nations,2023,22:00:00.000,2,0,Group Stage,1,2,1,1,0,1,0,0,1,0,2,0,0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,3.0,7.0,3.0,3.0,1.0,0.0,0.0,
3922237,Angola,0,1,3,0,1,0,0,6,74,39,42,33,19,0,0,176,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,2,3,0,3,1,1,0,0,10,2,2,0,3,2,0,0,6,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,11,188,195,383,1,4,5,1,2,3,7,11,18,7,8,15,2,1,3,0,0,0,0,0,0,0,0,0,Africa - African Cup of Nations,2023,19:00:00.000,3,0,Round of 16,1,3,1,2,0,2,0,0,0,0,1,0,0,0.6666666666666666,,0.0,,1.0,,7.0,3.0,,,,,0.0
