competition,season,match_id,kick_off,team,goals_scored,goals_conceded,competition_stage,home,goal_difference,winner,goals_scored_HT,goals_conceded_HT,Advantage_HT,Stoppage_Time_Goals_HT,Losing_HT,Stoppage_Time_Goals,Goals_Scored_Midfielders,Goals_Scored_Forwards,Goals_Scored_Defenders,Goals_Scored_Goalkeepers
Africa - African Cup of Nations,2023,3920384,22:00:00.000,Côte d'Ivoire,2,0,Group Stage,1,2,1,1,0,1,0,0,0,1,1,0,0
Africa - African Cup of Nations,2023,3920384,22:00:00.000,Guinea-Bissau,0,2,Group Stage,0,-2,0,0,1,-1,0,1,0,0,0,0,0
Africa - African Cup of Nations,2023,3920385,19:00:00.000,Mozambique,2,2,Group Stage,0,0,0,0,1,-1,0,1,0,1,0,0,0
Africa - African Cup of Nations,2023,3920385,19:00:00.000,Egypt,2,2,Group Stage,1,0,0,1,0,1,0,0,1,0,1,0,0
Africa - African Cup of Nations,2023,3920386,16:00:00.000,Equatorial Guinea,1,1,Group Stage,0,0,0,1,1,0,0,0,0,0,1,0,0
Africa - African Cup of Nations,2023,3920386,16:00:00.000,Nigeria,1,1,Group Stage,1,0,0,1,1,0,0,0,0,0,1,0,0
Africa - African Cup of Nations,2023,3920387,22:00:00.000,Cape Verde Islands,2,1,Group Stage,0,1,1,1,0,1,0,0,1,1,1,0,0
Africa - African Cup of Nations,2023,3920387,22:00:00.000,Ghana,1,2,Group Stage,1,-1,0,0,1,-1,0,1,0,0,0,1,0
Africa - African Cup of Nations,2023,3920388,16:00:00.000,Gambia,0,3,Group Stage,0,-3,0,0,1,-1,0,1,0,0,0,0,0
Africa - African Cup of Nations,2023,3920388,16:00:00.000,Senegal,3,0,Group Stage,1,3,1,1,0,1,0,0,0,3,0,0,0
Africa - African Cup of Nations,2023,3920389,19:00:00.000,Cameroon,1,1,Group Stage,1,0,0,0,1,-1,0,1,0,0,1,0,0
Africa - African Cup of Nations,2023,3920389,19:00:00.000,Guinea,1,1,Group Stage,0,0,0,1,0,1,0,0,0,0,1,0,0
Africa - African Cup of Nations,2023,3920390,22:00:00.000,Angola,1,1,Group Stage,0,0,0,0,1,-1,0,1,0,0,1,0,0
Africa - African Cup of Nations,2023,3920390,22:00:00.000,Algeria,1,1,Group Stage,1,0,0,1,0,1,0,0,0,0,1,0,0
Africa - African Cup of Nations,2023,3920391,22:00:00.000,Mali,2,0,Group Stage,1,2,1,0,0,0,0,0,0,0,1,1,0
Africa - African Cup of Nations,2023,3920391,22:00:00.000,South Africa,0,2,Group Stage,0,-2,0,0,0,0,0,0,0,0,0,0,0
Africa - African Cup of Nations,2023,3920392,16:00:00.000,Mauritania,0,1,Group Stage,0,-1,0,0,0,0,0,0,0,0,0,0,0
Africa - African Cup of Nations,2023,3920392,16:00:00.000,Burkina Faso,1,0,Group Stage,1,1,1,0,0,0,0,0,1,0,1,0,0
Africa - African Cup of Nations,2023,3920393,19:00:00.000,Tunisia,0,1,Group Stage,1,-1,0,0,0,0,0,0,0,0,0,0,0
Africa - African Cup of Nations,2023,3920393,19:00:00.000,Namibia,1,0,Group Stage,0,1,1,0,0,0,0,0,0,0,1,0,0
Africa - African Cup of Nations,2023,3920394,19:00:00.000,Morocco,3,0,Group Stage,1,3,1,1,0,1,0,0,0,1,1,1,0
