competition,season,match_id,kick_off,team,goals_scored,goals_conceded,competition_stage,goal_difference,winner,goals_scored_HT,goals_conceded_HT,Advantage_HT,Stoppage_Time_Goals_HT,Stoppage_Time_Goals,Goals_Scored_Midfielders,Goals_Scored_Forwards,Goals_Scored_Defenders,Goals_Scored_Goalkeepers
United States of America - NWSL,2018,7430,01:00:00.000,Washington Spirit,2,4,Regular Season,-2,0,1,2,-1,0,0,1,1,0,0
United States of America - NWSL,2018,7430,01:00:00.000,North Carolina Courage,4,2,Regular Season,2,1,2,1,1,0,0,2,2,0,0
United States of America - NWSL,2018,7443,21:30:00.000,Portland Thorns,2,3,Regular Season,-1,0,0,1,-1,0,0,1,0,1,0
United States of America - NWSL,2018,7443,21:30:00.000,OL Reign,3,2,Regular Season,1,1,1,0,1,0,0,1,2,0,0
United States of America - NWSL,2018,7444,21:00:00.000,North Carolina Courage,1,1,Regular Season,0,0,0,1,-1,0,0,1,0,0,0
United States of America - NWSL,2018,7444,21:00:00.000,Chicago Red Stars,1,1,Regular Season,0,0,1,0,1,0,0,0,1,0,0
United States of America - NWSL,2018,7445,03:00:00.000,Utah Royals,2,0,Regular Season,2,1,1,0,1,0,0,0,2,0,0
United States of America - NWSL,2018,7445,03:00:00.000,Washington Spirit,0,2,Regular Season,-2,0,0,1,-1,0,0,0,0,0,0
United States of America - NWSL,2018,7451,01:00:00.000,North Carolina Courage,1,0,Regular Season,1,1,0,0,0,0,0,0,0,1,0
United States of America - NWSL,2018,7451,01:00:00.000,Washington Spirit,0,1,Regular Season,-1,0,0,0,0,0,0,0,0,0,0
United States of America - NWSL,2018,7456,01:00:00.000,North Carolina Courage,2,1,Regular Season,1,1,2,0,2,0,0,1,1,0,0
United States of America - NWSL,2018,7456,01:00:00.000,NJ/NY Gotham FC,1,2,Regular Season,-1,0,0,2,-2,0,1,0,1,0,0
United States of America - NWSL,2018,7457,01:30:00.000,Orlando Pride,3,4,Regular Season,-1,0,0,1,-1,0,0,1,2,0,0
United States of America - NWSL,2018,7457,01:30:00.000,North Carolina Courage,4,3,Regular Season,1,1,1,0,1,0,0,0,1,0,0
United States of America - NWSL,2018,7471,21:30:00.000,North Carolina Courage,3,0,Regular Season,3,1,3,0,3,0,0,0,1,1,0
United States of America - NWSL,2018,7471,21:30:00.000,Orlando Pride,0,3,Regular Season,-3,0,0,3,-3,0,0,0,0,0,0
United States of America - NWSL,2018,7472,04:00:00.000,Portland Thorns,0,1,Regular Season,-1,0,0,0,0,0,0,0,0,0,0
United States of America - NWSL,2018,7472,04:00:00.000,OL Reign,1,0,Regular Season,1,1,0,0,0,0,0,0,1,0,0
United States of America - NWSL,2018,7473,04:00:00.000,NJ/NY Gotham FC,1,3,Regular Season,-2,0,0,3,-3,0,0,1,0,0,0
United States of America - NWSL,2018,7473,04:00:00.000,Utah Royals,3,1,Regular Season,2,1,3,0,3,0,0,0,3,0,0
United States of America - NWSL,2018,7474,00:00:00.000,Chicago Red Stars,2,0,Regular Season,2,1,1,0,1,0,0,1,0,1,0
United States of America - NWSL,2018,7474,00:00:00.000,Washington Spirit,0,2,Regular Season,-2,0,0,1,-1,0,0,0,0,0,0
United States of America - NWSL,2018,7475,01:00:00.000,Chicago Red Stars,1,4,Regular Season,-3,0,0,1,-1,0,1,0,1,0,0
United States of America - NWSL,2018,7475,01:00:00.000,North Carolina Courage,4,1,Regular Season,3,1,1,0,1,0,0,0,4,0,0
United States of America - NWSL,2018,7476,01:00:00.000,Chicago Red Stars,3,1,Regular Season,2,1,1,0,1,0,0,0,3,0,0
United States of America - NWSL,2018,7476,01:00:00.000,NJ/NY Gotham FC,1,3,Regular Season,-2,0,0,1,-1,0,0,1,0,0,0
United States of America - NWSL,2018,7477,05:00:00.000,Utah Royals,0,4,Regular Season,-4,0,0,3,-3,0,0,0,0,0,0
United States of America - NWSL,2018,7477,05:00:00.000,Portland Thorns,4,0,Regular Season,4,1,3,0,3,0,0,1,3,0,0
United States of America - NWSL,2018,7478,04:00:00.000,OL Reign,3,1,Regular Season,2,1,1,1,0,0,0,1,2,0,0
United States of America - NWSL,2018,7478,04:00:00.000,Houston Dash,1,3,Regular Season,-2,0,1,1,0,0,0,0,0,1,0
United States of America - NWSL,2018,7479,01:30:00.000,Orlando Pride,2,1,Regular Season,1,1,0,1,-1,0,0,1,1,0,0
United States of America - NWSL,2018,7479,01:30:00.000,Washington Spirit,1,2,Regular Season,-1,0,1,0,1,0,0,0,1,0,0
United States of America - NWSL,2018,7480,04:30:00.000,Utah Royals,0,1,Regular Season,-1,0,0,0,0,0,0,0,0,0,0
United States of America - NWSL,2018,7480,04:30:00.000,OL Reign,1,0,Regular Season,1,1,0,0,0,0,0,0,1,0,0
United States of America - NWSL,2018,7482,01:00:00.000,North Carolina Courage,2,0,Regular Season,2,1,1,0,1,0,0,0,1,0,0
United States of America - NWSL,2018,7482,01:00:00.000,Washington Spirit,0,2,Regular Season,-2,0,0,1,-1,0,0,0,0,0,0
United States of America - NWSL,2018,7483,01:00:00.000,Orlando Pride,2,1,Regular Season,1,1,0,1,-1,0,0,0,1,0,0
United States of America - NWSL,2018,7483,01:00:00.000,Utah Royals,1,2,Regular Season,-1,0,1,0,1,0,0,0,1,0,0
United States of America - NWSL,2018,7484,01:00:00.000,North Carolina Courage,4,0,Regular Season,4,1,1,0,1,0,0,0,3,1,0
United States of America - NWSL,2018,7484,01:00:00.000,NJ/NY Gotham FC,0,4,Regular Season,-4,0,0,1,-1,0,0,0,0,0,0
United States of America - NWSL,2018,7485,02:00:00.000,OL Reign,0,1,Regular Season,-1,0,0,0,0,0,0,0,0,0,0
United States of America - NWSL,2018,7485,02:00:00.000,Chicago Red Stars,1,0,Regular Season,1,1,0,0,0,0,0,0,1,0,0
United States of America - NWSL,2018,7486,05:00:00.000,Houston Dash,1,3,Regular Season,-2,0,1,2,-1,0,0,0,0,0,0
United States of America - NWSL,2018,7486,05:00:00.000,Portland Thorns,3,1,Regular Season,2,1,2,1,1,0,0,2,1,0,0
United States of America - NWSL,2018,7487,04:00:00.000,North Carolina Courage,0,0,Regular Season,0,0,0,0,0,0,0,0,0,0,0
United States of America - NWSL,2018,7487,04:00:00.000,Utah Royals,0,0,Regular Season,0,0,0,0,0,0,0,0,0,0,0
United States of America - NWSL,2018,7490,01:00:00.000,Portland Thorns,2,1,Regular Season,1,1,2,1,1,0,0,0,1,0,0
United States of America - NWSL,2018,7490,01:00:00.000,NJ/NY Gotham FC,1,2,Regular Season,-1,0,1,2,-1,0,0,0,0,0,0
United States of America - NWSL,2018,7492,01:30:00.000,NJ/NY Gotham FC,2,2,Regular Season,0,0,0,0,0,0,0,0,1,0,0
United States of America - NWSL,2018,7492,01:30:00.000,Orlando Pride,2,2,Regular Season,0,0,0,0,0,0,0,1,1,0,0
United States of America - NWSL,2018,7493,03:00:00.000,Washington Spirit,0,2,Regular Season,-2,0,0,1,-1,0,0,0,0,0,0
United States of America - NWSL,2018,7493,03:00:00.000,OL Reign,2,0,Regular Season,2,1,1,0,1,0,0,0,1,0,0
United States of America - NWSL,2018,7494,02:30:00.000,Houston Dash,1,2,Regular Season,-1,0,1,0,1,0,0,1,0,0,0
United States of America - NWSL,2018,7494,02:30:00.000,Utah Royals,2,1,Regular Season,1,1,0,1,-1,0,0,0,1,0,0
United States of America - NWSL,2018,7496,04:00:00.000,Utah Royals,1,0,Regular Season,1,1,0,0,0,0,0,0,0,0,0
